case,phi1_center_deg,phi1_lo_deg,phi1_hi_deg,n_total,phi2_deg_median,phi2_deg_width,phi2_deg_nvalid,distance_kpc_median,distance_kpc_width,distance_kpc_nvalid,pm1_masyr_median,pm1_masyr_width,pm1_masyr_nvalid,pm2_masyr_median,pm2_masyr_width,pm2_masyr_nvalid,rv_kms_median,rv_kms_width,rv_kms_nvalid
S_control,-5.0,-6.0,-4.0,2442,-1.023800001306109,0.2108825388045774,2442,9.399235492145342,0.07151249598561456,2442,-9.153232530349499,0.11123021957744085,2442,-2.131920128463067,0.0264396746132241,2442,-230.07968535486066,3.3469811254393194,2442
S_control,-3.0,-4.0,-2.0,1485,-1.2388693726576108,0.20569592492589964,1485,9.590968336397808,0.07880470917885127,1485,-8.831413791401987,0.12254883531237389,1485,-2.0762747712288676,0.025525916337364313,1485,-239.85330564816687,3.386624666605393,1485
S_control,-1.0,-2.0,0.0,820,-1.4662089871687438,0.1696138837249367,820,9.78966538093075,0.08092340070428725,820,-8.51497836629515,0.11790793528953976,820,-2.0223976220945756,0.022929701605067816,820,-249.09098300563858,3.2378991121815304,820
G1,-59.0,-60.0,-58.0,2901,-0.6428326734305374,0.2535398446026101,2901,6.983818216244698,0.04240858525792377,2901,-13.602641969662077,0.10686310437249594,2901,-3.764990248886227,0.029465502742646518,2901,104.23340977460815,4.821729788728732,2901
G1,-57.0,-58.0,-56.0,3970,-0.580053706946047,0.2545892289826906,3970,6.971050793719666,0.04616706620118749,3970,-13.736938919394934,0.11692633318803988,3970,-3.744380846608964,0.029081605569737226,3970,91.37544955369532,4.715250702284123,3970
G1,-55.0,-56.0,-54.0,4837,-0.5178545963266201,0.24336656177108207,4837,6.967436782890878,0.04438690492940818,4837,-13.8396706347465,0.11058148815861117,4837,-3.7180414816238523,0.027037771083884436,4837,78.44126255207088,4.813559483314089,4837
G1,-53.0,-54.0,-52.0,5548,-0.4500253575588168,0.24558878187115543,5548,6.97414082925168,0.03936656393300592,5548,-13.911338091263238,0.09523644595099995,5548,-3.6861473841159995,0.027400924770088438,5548,65.23729266804304,4.824337251887314,5548
G1,-51.0,-52.0,-50.0,5950,-0.3847586337701677,0.24029533318284824,5950,6.991809751026384,0.03810815278233475,5950,-13.944857641706548,0.09025339548485234,5950,-3.648453259738508,0.026724585227451525,5950,52.27737392707483,4.7698099344813505,5950
G1,-49.0,-50.0,-48.0,6235,-0.31703807573022696,0.24020761474824673,6235,7.012543807929907,0.041364789784741805,6235,-13.95792126459091,0.09916085104550167,6235,-3.6095062640062343,0.02792551406621242,6235,38.70933744525537,4.885498484975914,6235
G1,-47.0,-48.0,-46.0,6757,-0.2961328718674402,0.25925613130757186,6757,7.03274124532847,0.04324389117746998,6757,-13.963905842878129,0.10539040784098004,6757,-3.565997006209314,0.027303027175875755,6757,25.51135545905026,4.965652750646549,6757
G1,-45.0,-46.0,-44.0,6889,-0.2791206120440807,0.27261478732152356,6889,7.060609335649441,0.03835368124383912,6889,-13.943102673514192,0.08757966971924624,6889,-3.519701606512101,0.02619174531001604,6889,12.381379852333536,4.9974096036528355,6889
G1,-43.0,-44.0,-42.0,6273,-0.27133113612721255,0.2829255548745084,6273,7.0999749802396845,0.04056373548621955,6273,-13.886150986023202,0.09033586174006104,6273,-3.4676674472861246,0.026101550570491877,6273,-0.6502548602784494,4.810825931166695,6273
G1,-41.0,-42.0,-40.0,4815,-0.30493558334725684,0.27357774984728245,4815,7.129353858807082,0.047077394161274565,4815,-13.84316907233319,0.10687040244160277,4815,-3.4214642172837935,0.028087676500780232,4815,-13.962904197374979,5.2482373310996895,4815
G1,-39.0,-40.0,-38.0,6481,-0.2747843142606823,0.21365714745805045,6481,7.187803013429367,0.03999138767443064,6481,-13.717090726479352,0.09498282270135042,6481,-3.363646780618648,0.03171956281908413,6481,-28.61180458940934,4.778037027027644,6481
G1,-37.0,-38.0,-36.0,6486,-0.21255779034488315,0.19070981010495333,6486,7.252965724129205,0.037237682554526204,6486,-13.57616310717605,0.08118435197153318,6486,-3.2992004425539454,0.03024341307699761,6486,-39.821035450196206,4.3626354368554585,6486
G1,-35.0,-36.0,-34.0,4420,-0.22937155988908386,0.1984160313781579,4420,7.323852708015634,0.04349212646687227,4420,-13.417197429977541,0.09394524964740619,4420,-3.228508051198509,0.02881283167752415,4420,-54.14506384069568,4.723336903831356,4420
G1,-33.0,-34.0,-32.0,4983,-0.26251606678352746,0.2128740311579855,4983,7.38258233085973,0.04487855709845884,4983,-13.276733673598134,0.09765366592433193,4983,-3.174800522690424,0.031585274283448504,4983,-67.25544523713776,4.950152627431404,4983
