case,phi1_deg,response_phi2_deg,valid_phi2_deg,response_distance_kpc,valid_distance_kpc,response_pm1_masyr,valid_pm1_masyr,response_pm2_masyr,valid_pm2_masyr
G4,-59.0,0.027510760445833227,True,-0.012557634341882284,True,-0.03029396213059954,True,-0.0004387929077034336,True
G4,-57.0,0.024223889395990295,True,-0.013654192676976429,True,-0.03242025201535981,True,0.0006198956755034679,True
G4,-55.0,0.022662654504883306,True,-0.013281453685987543,True,-0.031725993855625134,True,0.0007153532321013678,True
G4,-53.0,0.021326307233681174,True,-0.01248936302111936,True,-0.028705738744969622,True,0.0010082348606861302,True
G4,-51.0,0.016052245323833647,True,-0.012714637172924093,True,-0.02824119623962673,True,0.0009594291822083711,True
G4,-49.0,0.011408597017172284,True,-0.013808284952716576,True,-0.030655726497839098,True,0.0003132472373912343,True
G4,-47.0,-0.005951890885879996,True,-0.016407412091030693,True,-0.03716695889102972,True,0.0001361671582826851,True
G4,-45.0,-0.010863000519992588,True,-0.015540242288260231,True,-0.03519979195039902,True,-0.00045885125693301276,True
G4,-43.0,-0.017178918406488636,True,-0.017014986710962354,True,-0.03812010391610876,True,-0.0015167563828382136,True
G4,-41.0,-0.03851362213542933,True,-0.022941059381486717,True,-0.05097446545751794,True,-0.005331560248462264,True
G4,-39.0,-0.02931945783146267,True,-0.01104448107506606,True,-0.0226861662786213,True,-0.005884469751266774,True
G4,-37.0,-0.021605959986431972,True,-0.009204365696405148,True,-0.020648395857753243,True,-0.003895394208051961,True
G4,-35.0,-0.01887662645611729,True,0.00024083802880525695,True,0.003451726411064726,True,0.003012876838521361,True
G4,-33.0,-0.0030729443603450535,True,0.005502054329041606,True,0.01446866597671459,True,0.0024265622627068772,True
G4,-31.0,0.06409906451796726,True,0.023625271083405508,True,0.05184515678595858,True,0.018022917231380386,True
G4,-29.0,-0.004529017468985264,True,0.0007291969144125332,True,0.003750929589749319,True,0.00048672655620141114,True
G4,-27.0,-0.0299099580636929,True,-0.007606075566044979,True,-0.010519184540807913,True,-0.004069372765269197,True
G4,-25.0,-0.036516865575592805,True,-0.011386844229938298,True,-0.02166313178373791,True,-0.005701798986326612,True
G4,-23.0,-0.00091177439180673,True,-0.001206232407101382,True,-0.0037746523761583717,True,-0.0005012458986590751,True
G4,-21.0,0.03053863958314934,True,0.009004821195928159,True,0.013305249293551924,True,0.007372776146954418,True
G4,-19.0,0.036649451058490365,True,0.01316067665552012,True,0.020658259441145077,True,0.014858467605969317,True
G4,-17.0,0.03140982883722716,True,0.0082735471270734,True,0.011210477141981201,True,0.013804587803480928,True
G4,-15.0,0.015626100907827872,True,0.0025097951383639128,True,0.001744628754831723,True,0.010152909897276796,True
G4,-13.0,0.0024354104563253376,True,-0.0010556728654638192,True,-0.002158983534059189,True,0.007771405240505125,True
G4,-11.0,-0.00306159890850094,True,-0.0024515830130962257,True,-0.0037562665733705813,True,0.006790301296776935,True
G4,-9.0,-0.007522986252563202,True,-0.002896873074572426,True,-0.0037883555589441897,True,0.0061525580199086605,True
G4,-7.0,-0.01228895917644468,True,-0.004002385952849963,True,-0.004798789959126637,True,0.005388923296149706,True
G4,-5.0,-0.015796481126979955,True,-0.004395102441554499,True,-0.0043255903945897956,True,0.004598151429320296,True
G4,-3.0,-0.02000274913748834,True,-0.005746466372061221,True,-0.0062063580130153895,True,0.0037550001168731306,True
G4,-1.0,-0.021041665237085505,True,-0.005738339286263994,True,-0.005927864992568033,True,0.003267891017877389,True
G4,1.0,-0.023263675882889023,False,-0.00654230832731173,False,-0.005646834884334595,False,0.0027632827347252586,False
G4,3.0,-0.027852981745341898,False,-0.006914582225354238,False,-0.003960495445269885,False,0.0024950734720554646,False
G4,5.0,-0.02769004236959649,False,-0.007630918689322641,False,-0.0068701411351472785,False,0.0017415634221096266,False
G4,7.0,nan,False,nan,False,nan,False,nan,False
G4,9.0,-0.03431071208407088,False,-0.006892824187749724,False,-0.00499983623055833,False,0.0010773019071095291,False
G4,11.0,nan,False,nan,False,nan,False,nan,False
G5,-89.0,nan,False,nan,False,nan,False,nan,False
G5,-87.0,nan,False,nan,False,nan,False,nan,False
G5,-85.0,nan,False,nan,False,nan,False,nan,False
